"alcaldia","nombre_colonia","clave_colonia","año","mes","casos_positivos"
"ALVARO OBREGON","19 DE MAYO","10-241",2020,"Diciembre",40
"ALVARO OBREGON","19 DE MAYO","10-241",2021,"Agosto",110
"ALVARO OBREGON","19 DE MAYO","10-241",2021,"Enero",10
"ALVARO OBREGON","19 DE MAYO","10-241",2021,"Julio",131
"ALVARO OBREGON","19 DE MAYO","10-241",2021,"Septiembre",5
"ALVARO OBREGON","19 DE MAYO","10-241",2022,"Enero",213
"ALVARO OBREGON","19 DE MAYO","10-241",2022,"Febrero",13
"ALVARO OBREGON","1RA VICTORIA","10-242",2020,"Diciembre",189
"ALVARO OBREGON","1RA VICTORIA","10-242",2020,"Noviembre",121
"ALVARO OBREGON","1RA VICTORIA","10-242",2021,"Agosto",154
"ALVARO OBREGON","1RA VICTORIA","10-242",2021,"Enero",284
"ALVARO OBREGON","1RA VICTORIA","10-242",2021,"Febrero",13
"ALVARO OBREGON","1RA VICTORIA","10-242",2021,"Julio",46
"ALVARO OBREGON","1RA VICTORIA","10-242",2021,"Junio",54
"ALVARO OBREGON","1RA VICTORIA","10-242",2021,"Marzo",10
"ALVARO OBREGON","1RA VICTORIA","10-242",2021,"Mayo",44
"ALVARO OBREGON","1RA VICTORIA","10-242",2021,"Septiembre",40
"ALVARO OBREGON","1RA VICTORIA","10-242",2022,"Enero",443
"ALVARO OBREGON","1RA VICTORIA","10-242",2022,"Febrero",52
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2020,"Diciembre",464
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2020,"Noviembre",89
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2020,"Septiembre",20
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2021,"Abril",61
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2021,"Agosto",478
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2021,"Enero",292
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2021,"Febrero",399
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2021,"Julio",247
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2021,"Junio",5
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2021,"Marzo",84
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2021,"Octubre",6
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2021,"Septiembre",93
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2022,"Enero",631
"ALVARO OBREGON","1RA VICTORIA SECCION BOSQUES","10-243",2022,"Febrero",125
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2020,"Diciembre",423
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2020,"Noviembre",214
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2020,"Octubre",49
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2021,"Abril",16
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2021,"Agosto",445
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2021,"Enero",619
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2021,"Febrero",338
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2021,"Julio",322
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2021,"Marzo",167
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2021,"Octubre",195
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2021,"Septiembre",161
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2022,"Enero",1238
"ALVARO OBREGON","2DA  JALALPA TEPITO (AMPL)","10-246",2022,"Febrero",178
"ALVARO OBREGON","2DA EL PIRUL (AMPL)","10-245",2020,"Diciembre",73
"ALVARO OBREGON","2DA EL PIRUL (AMPL)","10-245",2021,"Agosto",102
"ALVARO OBREGON","2DA EL PIRUL (AMPL)","10-245",2021,"Febrero",38
"ALVARO OBREGON","2DA EL PIRUL (AMPL)","10-245",2021,"Julio",34
"ALVARO OBREGON","2DA EL PIRUL (AMPL)","10-245",2021,"Marzo",12
"ALVARO OBREGON","2DA EL PIRUL (AMPL)","10-245",2021,"Septiembre",6
"ALVARO OBREGON","2DA EL PIRUL (AMPL)","10-245",2022,"Enero",343
"ALVARO OBREGON","2DA EL PIRUL (AMPL)","10-245",2022,"Febrero",62
"ALVARO OBREGON","ABRAHAM GONZALEZ","10-001",2020,"Diciembre",22
"ALVARO OBREGON","ABRAHAM GONZALEZ","10-001",2021,"Abril",5
"ALVARO OBREGON","ABRAHAM GONZALEZ","10-001",2021,"Agosto",10
"ALVARO OBREGON","ABRAHAM GONZALEZ","10-001",2021,"Marzo",5
"ALVARO OBREGON","ABRAHAM GONZALEZ","10-001",2022,"Enero",105
"ALVARO OBREGON","ABRAHAM GONZALEZ","10-001",2022,"Febrero",14
